Date,Bali,Gorontalo,Central Java,South Kalimantan,Papua,North Sumatra
2021-03-01,100000.0,80000.0,86000.0,130000.0,140000.0,32000.0
2021-03-02,100000.0,80000.0,86000.0,130000.0,140000.0,32000.0
2021-03-03,100000.0,80000.0,86000.0,130000.0,140000.0,32000.0
2021-03-04,100000.0,80000.0,86000.0,130000.0,140000.0,32000.0
2021-03-05,100000.0,80000.0,86000.0,130000.0,140000.0,32000.0
2021-03-06,100000.0,80000.0,86000.0,130000.0,140000.0,32000.0
2021-03-07,100000.0,80000.0,86000.0,130000.0,140000.0,32000.0
2021-03-08,100000.0,80000.0,86000.0,130000.0,140000.0,32000.0
2021-03-09,100000.0,80000.0,86000.0,117090.0,140000.0,32000.0
2021-03-10,100000.0,80000.0,86000.0,114210.0,140000.0,35330.0
2021-03-11,95252.165778828,80000.0,85000.0,124100.0,140000.0,33470.0
2021-03-12,90000.0,70000.0,85000.0,70000.0,140000.0,81300.0
2021-03-13,87981.26819628864,80000.0,93000.0,119210.0,140000.0,32000.0
2021-03-14,90911.48998757124,80000.0,101730.0,120280.0,140000.0,37290.0
2021-03-15,100000.0,82330.0,108360.0,118320.0,120000.0,32930.0
2021-03-16,110840.0,82300.0,111010.0,116860.0,91220.0,37140.0
2021-03-17,108990.0,78700.0,111190.0,115920.0,86550.0,34470.0
2021-03-18,112820.0,87190.0,112470.0,107790.0,87800.0,34750.0
2021-03-19,112780.0,88260.0,111250.0,119960.0,94000.0,36210.0
2021-03-20,110130.0,87460.0,112080.0,123590.0,93380.0,34890.0
2021-03-21,112250.0,83460.0,110820.0,115490.0,90307.11102365183,36310.0
2021-03-22,109550.0,85980.0,106420.0,122070.0,91940.0,35250.0
2021-03-23,107480.0,87460.0,102020.0,123040.0,98430.0,32510.0
2021-03-24,106630.0,87460.0,104700.0,124010.0,95070.0,36030.0
2021-03-25,109910.0,90920.0,101940.0,125930.0,95540.0,33550.0
2021-03-26,108320.0,88380.0,98300.0,125510.0,99370.0,33260.0
2021-03-27,102740.0,88480.0,93720.0,127050.0,97560.0,33740.0
2021-03-28,104210.0,87220.0,96460.0,122110.0,96819.7065586783,46450.0
2021-03-29,91090.0,89700.0,86280.0,122780.0,98810.0,41040.0
2021-03-30,96010.0,92420.0,80810.0,120070.0,101320.0,34730.0
2021-03-31,86450.0,89050.0,77010.0,118150.0,100850.0,42830.0
2021-04-01,85100.0,87790.0,72590.0,126690.0,101740.0,42830.0
2021-04-02,82910.0,87790.0,71020.0,126100.0,94170.0,44040.0
2021-04-03,79080.0,87460.0,70850.0,115650.0,103490.0,44190.0
2021-04-04,82050.0,91640.0,68470.0,118040.0,130000.0,48220.0
2021-04-05,72980.0,91640.0,70240.0,119530.0,94840.0,48220.0
2021-04-06,77050.0,90810.0,71410.0,117630.0,103220.0,49100.0
2021-04-07,75980.0,90770.0,71110.0,114530.0,101000.0,55010.0
2021-04-08,77810.0,89100.0,69340.0,113350.0,101550.0,56060.0
2021-04-09,74710.0,88640.0,66930.0,117500.0,106890.0,40000.0
2021-04-10,74590.0,90810.0,67100.0,113670.0,107980.0,59670.0
2021-04-11,73660.0,87050.0,65310.0,112610.0,130000.0,54110.0
2021-04-12,72570.0,87270.0,60490.0,112570.0,102440.0,53670.0
2021-04-13,70970.0,87320.0,60560.0,109850.0,101770.0,53810.0
2021-04-14,72110.0,84500.0,62410.0,105820.0,103910.0,51280.0
2021-04-15,72790.0,85330.0,63370.0,106510.0,100220.0,61080.0
