Date,Bali,Gorontalo,Central Java,South Kalimantan,Papua,North Sumatra
2023-10-18,43960.223,79569.8,44066.195,59135.707,79659.375,48369.164
2023-10-19,46801.3,77141.836,46280.82,59388.586,77986.28,47935.26
2023-10-20,47415.707,75177.12,46636.68,58572.285,79261.7,46886.418
2023-10-21,49258.875,75754.99,48250.973,60526.06,78876.07,46488.6
2023-10-22,48800.34,81432.625,47938.367,61499.945,79459.85,49780.414
2023-10-23,50447.79,80717.11,48756.17,62293.656,78746.555,53807.258
2023-10-24,55287.953,78882.66,53745.105,65236.402,77815.836,56830.773
2023-10-25,59029.484,75590.9,58234.863,66017.305,78208.59,58202.594
2023-10-26,61104.62,72979.07,60199.414,69804.83,78540.54,54432.29
2023-10-27,60427.555,71784.516,60044.348,70814.055,78463.3,56120.3
2023-10-28,60986.047,76491.51,60689.496,71013.45,78522.61,57002.29
2023-10-29,63199.023,83083.08,61792.082,74195.164,78643.375,57518.133
2023-10-30,65561.234,83424.96,62605.18,77235.44,78707.7,59095.47
2023-10-31,69823.94,77708.38,66695.055,75647.66,76183.89,60093.297
2023-11-01,71626.37,81271.77,69372.81,76723.42,74868.98,58631.637
2023-11-02,70374.06,81631.47,68924.71,76734.83,73294.8,57808.348
2023-11-03,67591.13,82639.234,68483.89,76785.63,73588.69,58775.074
2023-11-04,66593.92,77897.4,68224.88,76661.055,74048.59,62947.387
2023-11-05,67079.78,84916.31,70780.32,78255.25,72598.78,66648.766
2023-11-06,68196.43,82038.52,71802.03,79041.62,72192.48,69769.56
2023-11-07,65658.37,80700.07,70585.85,79285.12,72758.48,73918.16
2023-11-08,65092.46,79731.97,70894.47,79030.2,73581.28,76067.69
2023-11-09,69160.555,80370.93,72224.12,81919.414,75738.94,70468.695
2023-11-10,71515.67,79527.74,74397.7,82288.59,77312.63,67244.73
2023-11-11,69380.44,78177.3,73504.01,82653.914,78362.75,72371.805
2023-11-12,69626.72,76921.18,73465.92,83375.7,79451.61,71607.76
2023-11-13,67621.64,75853.25,71944.234,82533.19,79741.77,76287.7
2023-11-14,67416.56,76184.51,72312.6,82822.64,80922.875,78665.62
2023-11-15,68782.375,75804.57,72204.625,84428.195,80782.07,80278.69
2023-11-16,69224.31,76346.32,71856.68,83738.39,80642.46,80520.2
2023-11-17,68383.266,79665.47,72067.734,81916.29,79982.6,79053.63
2023-11-18,70689.164,80361.664,73237.1,85801.3,79503.03,77608.42
2023-11-19,69380.266,91114.95,74508.72,84372.45,76236.77,76813.91
2023-11-20,71033.71,91847.87,74598.54,85935.4,73829.09,77077.27
2023-11-21,73426.04,90588.92,75025.68,88622.7,75968.92,75793.375
2023-11-22,77173.15,92388.18,77808.12,93327.836,77274.59,76133.29
2023-11-23,78560.57,89796.5,83749.01,82994.01,77211.51,75470.6
2023-11-24,79768.266,95546.18,82021.49,94497.06,76747.63,76942.23
2023-11-25,80778.195,95773.266,80550.26,98898.95,76029.8,78840.664
2023-11-26,81784.016,102037.65,80972.7,101734.13,74290.92,77906.055
2023-11-27,81960.06,107169.01,80403.7,105626.766,69994.44,80629.31
2023-11-28,82568.46,106864.336,79711.414,106652.91,71878.14,77309.5
2023-11-29,81360.29,105431.16,79917.164,103738.41,72394.43,77952.63
2023-11-30,81520.61,106608.8,79683.625,105007.25,71532.44,75822.57
2023-12-01,78586.12,108006.94,78623.54,102820.79,70253.9,80001.414
2023-12-02,77736.78,111029.13,78649.59,102881.34,69350.81,82172.26
2023-12-03,77842.086,114152.695,80707.52,100410.28,70303.56,82492.27
2023-12-04,76323.7,113894.47,78404.63,96374.76,68729.414,82457.73
2023-12-05,74965.72,116863.484,84124.84,84138.04,67808.305,83337.695
2023-12-06,77408.49,113034.22,81564.42,94053.82,72647.12,75717.93
2023-12-07,79731.55,82915.555,78783.64,97537.125,80402.336,77767.19
2023-12-08,77772.58,134333.22,86173.94,99833.51,76930.016,77009.39
2023-12-09,82184.87,127264.58,86406.68,101228.32,76505.35,76437.75
2023-12-10,79527.0,130796.34,83964.06,102874.65,78378.445,76496.164
2023-12-11,81580.69,133587.95,83767.29,102880.31,80767.92,73276.38
2023-12-12,82478.02,132187.89,84920.53,100457.72,80868.336,70433.73
2023-12-13,81575.91,129860.83,84819.086,98655.805,83616.62,64042.562
2023-12-14,78885.39,128802.51,84536.42,93780.22,85325.71,66371.21
2023-12-15,77121.97,138587.84,84525.18,91932.47,86957.305,65132.86
2023-12-16,78520.38,132429.67,83017.586,94021.88,86472.59,65455.57
2023-12-17,79546.74,65120.37,74076.7,87649.95,89799.414,68600.93
2023-12-18,71816.54,143145.84,82176.34,89469.695,83887.195,69807.74
2023-12-19,75142.78,128784.13,77635.66,90205.055,87036.164,67685.945
2023-12-20,71125.86,127586.49,72569.03,88561.76,93063.7,62843.066
2023-12-21,71302.07,125697.15,73350.06,86262.05,99546.16,58563.895
2023-12-22,72652.586,92080.94,71291.6,79343.11,103716.65,59583.633
2023-12-23,69636.0,90841.24,70692.85,77292.21,108312.07,61570.51
2023-12-24,66611.0,121818.87,71610.836,82358.91,113232.18,53283.69
2023-12-25,69213.516,110503.32,71608.875,79992.81,113168.086,56280.242
2023-12-26,70267.11,81986.42,69072.04,79093.38,113341.39,64559.082
2023-12-27,68220.42,87169.164,68788.17,77842.086,115208.57,64837.656
2023-12-28,67378.69,121550.36,73339.54,81917.5,114801.24,60186.395
2023-12-29,69171.36,112414.52,71950.43,74149.71,115321.21,61253.56
2023-12-30,67843.39,112119.71,70745.88,73917.17,115672.4,59086.188
2023-12-31,70471.78,112740.12,72702.67,72710.766,112121.57,57834.535
